Year	Month	Speaker	Title	MP3
1971	04	Joseph Fielding Smith	A Witness and a Blessing	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7070-president-joseph-fielding-smith-64k-eng.mp3
1971	04	Eldred G. Smith	All May Share in Adam’s Blessing	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7020-elder-eldred-g-smith-64k-eng.mp3
1971	04	ElRay L. Christiansen	Be Slow to Anger	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2020-elder-elray-l-christiansen-64k-eng.mp3
1971	04	N. Eldon Tanner	Choose You This Day	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4010-president-n-eldon-tanner-64k-eng.mp3
1971	04	Loren C. Dunn	Drink of the Pure Water	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5050-elder-loren-c-dunn-64k-eng.mp3
1971	04	Joseph Anderson	Eternal Joy Is Eternal Growth	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5020-elder-joseph-anderson-64k-eng.mp3
1971	04	Gordon B. Hinckley	Except the Lord Build the House …	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4040-elder-gordon-b-hinckley-64k-eng.mp3
1971	04	Sterling W. Sill	Great Experiences	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2050-elder-sterling-w-sill-64k-eng.mp3
1971	04	William H. Bennett	Help Needed in the Shaded Areas	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7050-elder-william-h-bennett-64k-eng.mp3
1971	04	Delbert L. Stapley	Honesty and Integrity	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7040-elder-delbert-l-stapley-64k-eng.mp3
1971	04	Hartman Rector, Jr.	Ignorance Is Expensive	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5040-elder-hartman-rector-jr-64k-eng.mp3
1971	04	LeGrand Richards	In the Mountain of the Lord’s House	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7010-elder-legrand-richards-64k-eng.mp3
1971	04	Theodore M. Burton	Kingdom of God	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5060-elder-theodore-m-burton-64k-eng.mp3
1971	04	Ezra Taft Benson	Life Is Eternal	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1040-elder-ezra-taft-benson-64k-eng.mp3
1971	04	Thomas S. Monson	Lost Battalions	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6080-elder-thomas-s-monson-64k-eng.mp3
1971	04	Bernard P. Brockbank	Love of God	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5070-elder-bernard-p-brockbank-64k-eng.mp3
1971	04	Marvin J. Ashton	Love of the Right	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1030-elder-marvin-j-ashton-64k-eng.mp3
1971	04	Henry D. Taylor	Man Cannot Endure on Borrowed Light	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7060-elder-henry-d-taylor-64k-eng.mp3
1971	04	James A. Cullimore	Marriage Is Intended to Be Forever	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6070-elder-james-a-cullimore-64k-eng.mp3
1971	04	John H. Vandenberg	My Brother’s Keeper	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4020-bishop-john-h-vandenberg-64k-eng.mp3
1971	04	Joseph Fielding Smith	Our Responsibilities As Priesthood Holders	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3010-president-joseph-fielding-smith-64k-eng.mp3
1971	04	Joseph Fielding Smith	Out of the Darkness	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1010-president-joseph-fielding-smith-64k-eng.mp3
1971	04	Marion D. Hanks	Practicing What We Preach	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6060-elder-marion-d-hanks-64k-eng.mp3
1971	04	Howard W. Hunter	Prepare Every Needful Thing	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3020-elder-howard-w-hunter-64k-eng.mp3
1971	04	Marion G. Romney	Satan—The Great Deceiver	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2010-elder-marion-g-romney-64k-eng.mp3
1971	04	N. Eldon Tanner	Search for the Wanderers	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3060-president-n-eldon-tanner-64k-eng.mp3
1971	04	David B. Haight	Teach One Another	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3030-elder-david-b-haight-64k-eng.mp3
1971	04	Harold B. Lee	The Iron Rod	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5010-president-harold-b-lee-64k-eng.mp3
1971	04	Franklin D. Richards	The Law of Abundance	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2060-elder-franklin-d-richards-64k-eng.mp3
1971	04	Bruce R. McConkie	The Lord’s People Receive Revelation	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-5030-elder-bruce-r-mcconkie-64k-eng.mp3
1971	04	Victor L. Brown	The Meaning of Morality	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3040-bishop-victor-l-brown-64k-eng.mp3
1971	04	A. Theodore Tuttle	The Message of the Restoration	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4030-elder-a-theodore-tuttle-64k-eng.mp3
1971	04	Boyd K. Packer	The Spirit Beareth Record	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6040-elder-boyd-k-packer-64k-eng.mp3
1971	04	Milton R. Hunter	Thou Shalt Not Commit Adultery	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2040-elder-milton-r-hunter-64k-eng.mp3
1971	04	Harold B. Lee	Today’s Young People	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3070-president-harold-b-lee-64k-eng.mp3
1971	04	Wendell J. Ashton	Unchanging Principles of Leadership	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-3050-elder-wendell-j-ashton-64k-eng.mp3
1971	04	Spencer W. Kimball	Voices of the Past, of the Present, of the Future	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-1020-president-spencer-w-kimball-64k-eng.mp3
1971	04	Mark E. Petersen	Warnings from the Past	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2070-elder-mark-e-petersen-64k-eng.mp3
1971	04	S. Dilworth Young	When Thou Art Converted	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-2030-elder-s-dilworth-young-64k-eng.mp3
1971	04	Richard L. Evans	Where Are You Really Going?	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-4050-elder-richard-l-evans-64k-eng.mp3
1971	04	Alvin R. Dyer	Ye Shall Not Fear	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-6050-elder-alvin-r-dyer-64k-eng.mp3
1971	04	Paul H. Dunn	Young People—Learn Wisdom in Thy Youth	http://media2.ldscdn.org/assets/general-conference/april-1971-general-conference/1971-04-7030-elder-paul-h-dunn-64k-eng.mp3
1971	10	James O. Mason	A New Health Missionary Program	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5050-dr-james-o-mason-64k-eng.mp3
1971	10	Henry D. Taylor	A Time of Testing	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1030-elder-henry-d-taylor-64k-eng.mp3
1971	10	Joseph Fielding Smith	Blessings of the Priesthood	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5010-president-joseph-fielding-smith-64k-eng.mp3
1971	10	S. Dilworth Young	By Love, Serve One Another	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2050-elder-s-dilworth-young-64k-eng.mp3
1971	10	James A. Cullimore	Confession and Forsaking:Elements of Genuine Repentance	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4030-elder-james-a-cullimore-64k-eng.mp3
1971	10	N. Eldon Tanner	Continuity of Service	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5070-president-n-eldon-tanner-64k-eng.mp3
1971	10	Eldred G. Smith	Decisions	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1040-elder-eldred-g-smith-64k-eng.mp3
1971	10	Howard W. Hunter	Elijah the Prophet	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2070-elder-howard-w-hunter-64k-eng.mp3
1971	10	Spencer W. Kimball	Glimpses of Heaven	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6050-president-spencer-w-kimball-64k-eng.mp3
1971	10	Mark E. Petersen	Honesty, a Principle of Salvation	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3020-elder-mark-e-petersen-64k-eng.mp3
1971	10	Bruce R. McConkie	How to Worship	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7030-elder-bruce-r-mcconkie-64k-eng.mp3
1971	10	Joseph Fielding Smith	I Know That My Redeemer Liveth	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1010-president-joseph-fielding-smith-64k-eng.mp3
1971	10	Victor L. Brown	I Was in Prison, and Ye Came Unto Me	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4040-bishop-victor-l-brown-64k-eng.mp3
1971	10	Gordon B. Hinckley	If Ye Be Willing and Obedient	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7010-elder-gordon-b-hinckley-64k-eng.mp3
1971	10	LeGrand Richards	Laying a Foundation for the Millennium	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4020-elder-legrand-richards-64k-eng.mp3
1971	10	Joseph Fielding Smith	Let the Spirit of Oneness Prevail	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7060-president-joseph-fielding-smith-64k-eng.mp3
1971	10	Marion D. Hanks	Love Unconditional	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5040-elder-marion-d-hanks-64k-eng.mp3
1971	10	Delbert L. Stapley	Our Responsibility:To Save the World	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4070-elder-delbert-l-stapley-64k-eng.mp3
1971	10	Harold B. Lee	Responsibilities of the Priesthood	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5080-president-harold-b-lee-64k-eng.mp3
1971	10	Hartman Rector, Jr.	Sacrifice Still Brings Forth Blessings	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2040-elder-hartman-rector-jr-64k-eng.mp3
1971	10	Ezra Taft Benson	Satan’s Thrust—Youth	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1070-elder-ezra-taft-benson-64k-eng.mp3
1971	10	Richard L. Evans	Should the Commandments Be Rewritten?	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2010-elder-richard-l-evans-64k-eng.mp3
1971	10	Robert L. Simpson	Strengthen Thy Brethren	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5030-bishop-robert-l-simpson-64k-eng.mp3
1971	10	Dallin H. Oaks	Strive for Excellence	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5060-elder-dallin-h-oaks-64k-eng.mp3
1971	10	Marion G. Romney	The Light Shineth	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3030-elder-marion-g-romney-64k-eng.mp3
1971	10	Joseph Anderson	The Living Christ	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7020-elder-joseph-anderson-64k-eng.mp3
1971	10	Alvin R. Dyer	The Nobility of Man in Choosing Good Over Evil	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6040-elder-alvin-r-dyer-64k-eng.mp3
1971	10	Boyd K. Packer	The Only True and Living Church	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1020-elder-boyd-k-packer-64k-eng.mp3
1971	10	Franklin D. Richards	The Purpose of Life:To Be Proved	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1060-elder-franklin-d-richards-64k-eng.mp3
1971	10	ElRay L. Christiansen	The Sifting	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2020-elder-elray-l-christiansen-64k-eng.mp3
1971	10	Bernard P. Brockbank	The Ten Commandments	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2030-elder-bernard-p-brockbank-64k-eng.mp3
1971	10	A. Theodore Tuttle	The Things That Matter Most	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4050-elder-a-theodore-tuttle-64k-eng.mp3
1971	10	Milton R. Hunter	The Vitality of Love	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2060-elder-milton-r-hunter-64k-eng.mp3
1971	10	Loren C. Dunn	This Is My Beloved Son	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1050-elder-loren-c-dunn-64k-eng.mp3
1971	10	Hugh B. Brown	This Same Jesus	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7050-elder-hugh-b-brown-64k-eng.mp3
1971	10	Sterling W. Sill	Thou Shalt Not	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4060-elder-sterling-w-sill-64k-eng.mp3
1971	10	Theodore M. Burton	Thus Saith the Lord	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3040-elder-theodore-m-burton-64k-eng.mp3
1971	10	John H. Vandenberg	Turn Heavenward Our Eyes	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6020-bishop-john-h-vandenberg-64k-eng.mp3
1971	10	Harold B. Lee	Watch, That Ye May Be Ready	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3010-president-harold-b-lee-64k-eng.mp3
1971	10	Paul H. Dunn	What Is a Teacher?	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6030-elder-paul-h-dunn-64k-eng.mp3
1971	10	N. Eldon Tanner	Where Art Thou?	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6010-president-n-eldon-tanner-64k-eng.mp3
1971	10	Thomas S. Monson	With Hand and Heart	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7040-elder-thomas-s-monson-64k-eng.mp3
1971	10	Marvin J. Ashton	You Can Get There From Here	http://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5020-elder-marvin-j-ashton-64k-eng.mp3
1972	04	Vaughn J. Featherstone	A Challenge to the Priesthood	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1070-bishop-vaughn-j-featherstone-64k-eng.mp3
1972	04	David B. Haight	A Foundation Whereon Men Cannot Fall	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6030-elder-david-b-haight-64k-eng.mp3
1972	04	Hugh B. Brown	A Missionary and His Message	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4080-elder-hugh-b-brown-64k-eng.mp3
1972	04	Mark E. Petersen	A People of Sound Judgment	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1050-elder-mark-e-petersen-64k-eng.mp3
1972	04	Joseph Fielding Smith	A Prophet’s Blessing	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7070-president-joseph-fielding-smith-64k-eng.mp3
1972	04	Howard W. Hunter	A Teacher	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4070-elder-howard-w-hunter-64k-eng.mp3
1972	04	Harold B. Lee	A Time of Decision	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6010-president-harold-b-lee-64k-eng.mp3
1972	04	Henry D. Taylor	Am I My Brother’s Keeper?	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4020-elder-henry-d-taylor-64k-eng.mp3
1972	04	William H. Bennett	Be A Missionary—Always—Everywhere You Go!	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4060-elder-william-h-bennett-64k-eng.mp3
1972	04	Ezra Taft Benson	Civic Standards for the Faithful Saints	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2060-elder-ezra-taft-benson-64k-eng.mp3
1972	04	Joseph Fielding Smith	Counsel to the Saints and to the World	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1040-president-joseph-fielding-smith-64k-eng.mp3
1972	04	Robert L. Simpson	Courts of Love	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2010-elder-robert-l-simpson-64k-eng.mp3
1972	04	Joseph Fielding Smith	Eternal Keys and the Right to Preside	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5010-president-joseph-fielding-smith-64k-eng.mp3
1972	04	Thomas S. Monson	Finishers Wanted	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3050-elder-thomas-s-monson-64k-eng.mp3
1972	04	Marion D. Hanks	Joy through Christ	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6020-elder-marion-d-hanks-64k-eng.mp3
1972	04	N. Eldon Tanner	Judge Not, That Ye Be Not Judged	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-3010-president-n-eldon-tanner-64k-eng.mp3
1972	04	Spencer W. Kimball	Keep the Lines of Communication Strong	http://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1090-president-spencer-w-kimball-64k-eng.mp3
